CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location
LINK-018377,Manhattan,111,8,40.80009573,-73.93860514,Live,2182 3 AVENUE,10035,mn-11-146076,05/17/2018 12:00:00 AM,04/10/2018 12:00:00 AM,East Harlem North,1054369,1017680033,1019600,EAST 119 STREET,EAST 120 STREET,MIDBLOCK,81948,"(40.80009573, -73.93860514)"
LINK-002526,Brooklyn,302,33,40.68844943,-73.98247226,Live,275 LIVINGSTON STREET,11201,bk-02-126838,01/30/2017 12:00:00 AM,11/11/2016 12:00:00 AM,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000461,3001610001,3003700,HANOVER PLACE,NEVINS STREET,NE,,"(40.68844943, -73.98247226)"
LINK-012859,Manhattan,106,4,40.75877707,-73.9658397,Live,1063 2 AVENUE,10022,mn-06-121770,03/28/2019 12:00:00 AM,05/12/2018 12:00:00 AM,Turtle Bay-East Midtown,1090233,1013307502,1010800,EAST 56 STREET,EAST 57 STREET,NW,,"(40.75877707, -73.9658397)"
LINK-013290,Manhattan,101,1,40.72098349,-74.00648828,Installed,50 VARICK STREET,10013,mn-01-133384,,07/31/2018 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1002734,1002127504,1003300,LAIGHT STREET,BEACH STREET,MIDBLOCK,,"(40.72098349, -74.00648828)"
LINK-011214,Manhattan,106,4,40.75045756,-73.97189334,Live,801 2 AVENUE,10017,mn-06-138188,02/16/2018 12:00:00 AM,11/11/2017 12:00:00 AM,Turtle Bay-East Midtown,1037553,1013160030,1008800,EAST 43 STREET,EAST 42 STREET,SW,,"(40.75045756, -73.97189334)"
LINK-001680,Manhattan,109,7,40.82076419,-73.95480753,Live,3359 BROADWAY,10031,mn-09-120365,07/07/2016 12:00:00 AM,06/17/2016 12:00:00 AM,Manhattanville,1059959,1020020034,1022301,WEST 136 STREET,WEST 135 STREET,SW,,"(40.82076419, -73.95480753)"
LINK-014333,Queens,409,30,40.69145,-73.866734,Live,74-39 JAMAICA AVENUE,11421,qu-09-126735,07/21/2017 12:00:00 AM,06/03/2017 12:00:00 AM,Woodhaven,4180778,4088350001,4000200,75 STREET,DEXTER COURT,MIDBLOCK,,"(40.69145, -73.866734)"
LINK-010934,Manhattan,107,6,40.7920348,-73.97197865,Live,674 AMSTERDAM AVENUE,10025,mn-07-121100,02/07/2017 12:00:00 AM,12/01/2016 12:00:00 AM,Upper West Side,1033614,1012400036,1017900,WEST 92 STREET,WEST 93 STREET,SW,,"(40.7920348, -73.97197865)"
LINK-010805,Manhattan,108,4,40.764821,-73.970303,Live,25 EAST 61 STREET,10065,mn-08-121980,05/31/2017 12:00:00 AM,04/08/2017 12:00:00 AM,Upper East Side-Carnegie Hill,1040850,1013760021,1011401,MADISON AVENUE,PARK AVENUE,NE,,"(40.764821, -73.970303)"
LINK-011271,Bronx,205,14,40.851329,-73.908266,Live,51 EAST TREMONT AVENUE,10453,bx-05-119598,01/12/2018 12:00:00 AM,10/20/2017 12:00:00 AM,Mount Hope,2007940,2028290026,2024100,WALTON AVENUE,MORRIS AVENUE,NE,,"(40.851329, -73.908266)"
LINK-013883,Manhattan,104,6,40.76840586,-73.98921452,Live,849 10 AVENUE,10019,mn-04-122482,12/04/2017 12:00:00 AM,09/23/2017 12:00:00 AM,Clinton,1087635,1010840025,1013500,WEST 56 STREET,WEST 55 STREET,SW,,"(40.76840586, -73.98921452)"
LINK-011438,Manhattan,112,7,40.83328532,-73.94509159,Live,580 WEST 156 STREET,10032,mn-12-120451,02/01/2017 12:00:00 AM,12/20/2016 12:00:00 AM,Washington Heights South,1062678,1021140005,1024100,BROADWAY,AMSTERDAM AVENUE,SE,,"(40.83328532, -73.94509159)"
LINK-001482,Manhattan,107,6,40.78945727,-73.97504101,Live,215 WEST 88 STREET,10024,mn-07-121243,08/07/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Upper West Side,1087732,1012367502,1017500,BROADWAY,AMSTERDAM AVENUE,NE,,"(40.78945727, -73.97504101)"
LINK-018196,Manhattan,109,7,40.81802286,-73.95637382,Live,3270 BROADWAY,10027,mn-09-146058,04/25/2018 12:00:00 AM,01/27/2018 12:00:00 AM,Manhattanville,1081809,1019860030,1021900,WEST 132 STREET,WEST 131 STREET,NE,81597,"(40.81802286, -73.95637382)"
LINK-011604,Brooklyn,308,36,40.676976,-73.949916,Live,628 NOSTRAND AVENUE,11216,bk-08-127034,03/07/2017 12:00:00 AM,02/17/2017 12:00:00 AM,Crown Heights North,3030004,3012060045,3031500,DEAN STREET,PACIFIC STREET,NW,,"(40.676976, -73.949916)"
LINK-000832,Manhattan,108,4,40.76606,-73.963554,Live,165 EAST 66 STREET,10065,mn-08-138320,10/16/2017 12:00:00 AM,07/29/2017 12:00:00 AM,Upper East Side-Carnegie Hill,1042464,1014010033,1012000,3 AVENUE,LEXINGTON AVENUE,NW,,"(40.76606, -73.963554)"
LINK-013880,Manhattan,104,3,40.73788645,-73.9966041,Live,545 6 AVENUE,10011,mn-04-122426,01/17/2019 12:00:00 AM,05/12/2018 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1014529,1007900039,1008100,WEST 15 STREET,WEST 14 STREET,SW,,"(40.73788645, -73.9966041)"
LINK-000928,Manhattan,107,6,40.774894,-73.982571,Live,121 WEST 67 STREET,10023,mn-07-133488,07/19/2016 12:00:00 AM,04/16/2016 12:00:00 AM,Lincoln Square,1028850,1011390014,1015300,BROADWAY,AMSTERDAM AVENUE,NW,,"(40.774894, -73.982571)"
LINK-011423,Brooklyn,307,38,40.65574578,-74.00654892,Live,948 3 AVENUE,11232,bk-07-125836,05/02/2018 12:00:00 AM,02/26/2018 12:00:00 AM,Sunset Park West,3010251,3006910046,3001800,EAST 36 STREET,EAST 35 STREET,NW,,"(40.65574578, -74.00654892)"
LINK-012640,Manhattan,105,2,40.74339468,-73.9838785,Live,407 PARK AVENUE SOUTH,10016,mn-05-134631,06/19/2018 12:00:00 AM,02/24/2018 12:00:00 AM,Murray Hill-Kips Bay,1018204,1008840001,1007200,EAST 28 STREET,EAST 29 STREET,NE,,"(40.74339468, -73.9838785)"
