OBJECTID,Borough,Type,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
10362,3,Limited Free,40.658385,-73.887583,1015440.528,179163.81,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,9/9/9999,3,Brooklyn,BK82,East New York,42,11207,305,1104,1104,0,3043490001,217,"(40.658385, -73.8875829994)"
10447,4,Limited Free,40.728838,-73.883751,1016469.667,204833.279,Outdoor TWC Aerial,3 free 10 min sessions,Queens,GuestWiFi,0,9/9/9999,4,Queens,QN29,Elmhurst,25,11373,404,499,499,0,0,824,"(40.7288380002, -73.8837509996)"
10605,3,Free,40.7015,-73.9943,985830.465,194851.885,Outdoor,,Brooklyn,attwifi,,9/9/9999,3,Brooklyn,BK09,Brooklyn Heights-Cobble Hill,33,11201,302,1,1,0,3002050001,1409,"(40.7014999998, -73.9943000006)"
9753,3,Free,40.6934418,-73.9731931,991683.7706,191917.13,Outdoor,,Brooklyn,DowntownBrooklynWiFi_Fon,,9/9/9999,3,Brooklyn,BK68,Fort Greene,35,11205,302,18501,18501,3335255,3020410001,665,"(40.6934417997, -73.9731930998)"
9884,3,Free,40.692178,-73.988304,987493.4571,191455.7697,Outdoor,,Brooklyn,Downtown Brooklyn WiFi,,9/9/9999,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11201,302,11,11,3000281,3001440001,1028,"(40.6921780001, -73.9883039999)"
9915,2,Free,40.90043991,-73.867942,1020757.045,267360.1648,Library,,Bronx,NYPL,,9/9/9999,2,Bronx,BX62,Woodlawn-Wakefield,11,10470,212,44902,44902,2019288,2033800054,325,"(40.9004399098, -73.867942)"
10208,3,Free,40.695295,-73.9801032,989767.3905,192591.7947,Outdoor,,Brooklyn,DowntownBrooklynWiFi_Fon,,9/9/9999,3,Brooklyn,BK68,Fort Greene,35,11205,302,2901,2901,3335230,3020340001,648,"(40.695295, -73.9801031998)"
10220,1,Limited Free,40.773542,-73.981774,989298.1454,221099.5355,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,9/9/9999,1,Manhattan,MN14,Lincoln Square,6,10023,107,149,149,0,0,1095,"(40.773542, -73.9817740003)"
11041,4,Free,40.761341,-73.92387,1005339.964,216662.9463,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-012889,6/14/2017,4,Queens,QN70,Astoria,22,11106,401,61,61,4008399,4006140000,4238,"(40.7613410003, -73.9238699996)"
11631,1,Limited Free,40.82059,-73.95969,995406.9721,238242.8015,Outdoor,3 free 10 min sessions,New York,GuestWiFi,0,9/9/9999,1,Manhattan,MN06,Manhattanville,7,10027,109,22302,22302,0,1020050024,1187,"(40.8205899999, -73.9596899999)"
12500,5,Free,40.590983,-74.100732,956273.2804,154603.5435,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-001752,2/28/2017,5,Staten Island,SI36,Old Town-Dongan Hills-South Beach,50,10304,502,96,96,5048677,5033050090,3585,"(40.5909830002, -74.1007320003)"
9932,3,Free,40.68481005,-73.91513242,1007787.512,188782.5949,Library,,Brooklyn,BPLUNWIRED,,9/9/9999,3,Brooklyn,BK79,Ocean Hill,41,11233,316,373,373,3040218,3014980035,345,"(40.6848100477, -73.915132416)"
10191,4,Free,40.75364064,-73.91840166,1006857.448,213858.8191,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-020932,11/7/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,401,171,171,4441943,4001430500,4639,"(40.7536406401, -73.9184016594)"
10390,3,Limited Free,40.70254,-73.923816,1005373.555,195239.9222,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,9/9/9999,3,Brooklyn,BK77,Bushwick North,34,11237,304,429,429,0,3032030001,245,"(40.7025399998, -73.9238159997)"
11491,1,Free,40.73121904,-73.982827,989009.5138,205679.8535,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014015,10/6/2017,1,Manhattan,MN22,East Village,2,10003,103,40,40,1006522,1004550030,4386,"(40.7312190398, -73.9828270001)"
10721,1,Free,40.728824,-73.98468,988496.1057,204807.1705,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-008305,10/6/2017,1,Manhattan,MN22,East Village,2,10003,103,40,40,1006417,1004510030,3827,"(40.728824, -73.9846799999)"
12228,1,Free,40.735626,-73.985322,988317.753,207285.3214,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000243,1/19/2016,1,Manhattan,MN21,Gramercy,2,10003,106,48,48,1019551,1008980000,3111,"(40.7356259996, -73.9853220002)"
12237,1,Free,40.739528,-73.982489,989102.5858,208707.0876,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000264,12/5/2016,1,Manhattan,MN20,Murray Hill-Kips Bay,2,10010,106,66,66,1082137,1009050000,3120,"(40.739528, -73.9824889997)"
10885,1,Free,40.76023532,-73.98401196,988679.1716,216251.3504,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010160,6/12/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10019,105,125,125,1024777,1010200040,3843,"(40.7602353199, -73.9840119597)"
11822,1,Free,40.76511946,-73.95769383,995969.2311,218033.229,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014618,6/15/2018,1,Manhattan,MN31,Lenox Hill-Roosevelt Island,5,10065,108,116,116,1045572,1014620000,4442,"(40.7651194601, -73.9576938298)"
12730,1,Free,40.730249,-73.986348,988033.7204,205326.2659,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-003229,9/13/2016,1,Manhattan,MN22,East Village,2,10003,103,40,40,1006435,1004520010,3657,"(40.7302489998, -73.9863479994)"
12942,1,Free,40.75163236,-73.97065717,992379.9027,213117.9698,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-007631,3/6/2018,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10017,106,90,90,1038762,1013370050,3796,"(40.7516323603, -73.9706571702)"
11144,4,Free,40.73933161,-73.87812993,1018022.287,208658.5443,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-019897,9/7/2017,4,Queens,QN50,Elmhurst-Maspeth,25,11373,404,485,485,4038727,4015460040,4587,"(40.73933161, -73.8781299298)"
